tenure_months,monthly_charges,support_tickets_3m,contract_type,autopay,usage_gb,churn
6,84.96,2,one-year,1,51.7,1
55,54.95,0,month-to-month,1,104.8,0
47,67.27,1,month-to-month,0,138.1,0
31,11.8,2,month-to-month,1,75.9,0
31,36.87,2,month-to-month,1,82.5,0
61,54.12,0,month-to-month,1,127.5,0
6,38.56,0,month-to-month,0,26.6,0
50,74.29,0,month-to-month,0,158.8,1
14,99.95,2,month-to-month,0,175.5,1
6,36.47,0,two-year,0,5.0,0
37,43.25,1,one-year,0,86.6,0
70,64.71,1,month-to-month,0,64.8,0
52,92.22,1,month-to-month,0,80.7,1
54,35.55,1,month-to-month,1,75.4,0
51,64.98,1,one-year,0,118.4,0
56,96.43,3,month-to-month,1,86.1,0
36,26.96,1,month-to-month,0,58.1,0
9,34.38,0,month-to-month,1,84.0,1
60,51.53,0,month-to-month,0,108.0,0
32,49.59,0,month-to-month,1,48.6,0
36,76.25,4,two-year,1,32.4,0
26,64.83,2,two-year,0,159.7,0
13,24.5,2,month-to-month,1,67.5,1
66,70.31,5,month-to-month,0,85.2,0
56,48.45,1,month-to-month,1,76.1,0
46,85.49,1,month-to-month,0,109.2,0
28,47.45,1,month-to-month,0,152.0,0
59,47.27,1,month-to-month,0,110.3,1
39,70.82,1,one-year,1,36.9,0
31,75.26,0,two-year,0,41.6,0
32,68.96,2,one-year,1,76.0,0
16,26.29,2,one-year,0,80.6,1
6,70.76,1,month-to-month,0,29.7,1
39,39.31,1,month-to-month,0,118.7,0
63,64.71,0,month-to-month,1,52.0,0
4,31.53,0,month-to-month,1,142.3,0
61,68.93,1,month-to-month,0,153.7,0
59,43.87,1,one-year,1,81.3,0
19,34.35,1,month-to-month,0,105.4,0
45,74.28,1,month-to-month,0,46.9,1
11,64.83,2,month-to-month,0,111.8,0
54,47.72,0,two-year,0,72.6,0
50,89.02,2,month-to-month,0,51.9,0
25,51.19,0,month-to-month,1,79.9,0
4,60.64,2,month-to-month,0,73.7,0
69,65.38,2,one-year,1,78.6,0
32,47.61,1,two-year,1,123.2,1
64,69.42,0,month-to-month,1,62.5,0
48,49.33,0,two-year,1,150.7,0
56,51.77,1,month-to-month,1,43.6,0
54,87.25,0,one-year,0,146.5,0
14,39.19,1,month-to-month,0,54.4,0
26,11.74,3,month-to-month,0,90.0,1
33,92.22,0,one-year,1,72.8,0
35,110.99,1,month-to-month,0,78.0,1
3,51.89,0,month-to-month,1,118.0,0
39,21.26,0,one-year,1,142.5,0
11,53.79,0,two-year,0,131.7,0
53,54.28,1,month-to-month,1,75.8,0
49,56.2,0,one-year,0,96.4,0
66,37.73,2,one-year,0,62.6,0
53,71.59,1,month-to-month,1,55.3,0
26,70.49,2,two-year,0,49.9,0
69,30.11,5,month-to-month,0,74.7,0
29,73.98,3,one-year,0,98.7,0
23,101.05,1,month-to-month,0,23.1,0
65,63.44,1,month-to-month,1,88.4,0
26,53.25,2,month-to-month,1,143.1,0
5,57.16,1,month-to-month,0,129.3,1
33,72.31,2,two-year,0,69.5,0
57,25.39,0,two-year,0,41.1,0
13,63.29,0,month-to-month,1,106.1,0
33,52.19,3,month-to-month,1,8.9,0
9,96.96,2,month-to-month,0,128.9,1
49,56.52,0,month-to-month,0,82.5,0
34,93.36,2,month-to-month,1,154.1,1
23,37.93,2,two-year,1,29.6,0
16,71.75,0,one-year,0,122.1,1
40,66.39,1,month-to-month,1,86.5,0
48,42.62,0,month-to-month,0,78.4,0
67,63.55,2,one-year,0,42.1,0
31,84.25,1,month-to-month,1,110.9,0
11,53.52,2,month-to-month,0,113.7,0
59,26.16,2,month-to-month,0,152.5,0
45,59.65,2,month-to-month,1,125.3,1
50,41.95,0,month-to-month,1,69.2,0
7,53.15,1,one-year,0,54.9,1
22,58.37,0,month-to-month,1,42.1,0
55,25.89,0,month-to-month,1,141.6,0
59,27.69,1,month-to-month,1,62.8,0
31,69.64,1,two-year,1,141.8,0
57,49.55,0,month-to-month,1,108.4,0
60,10.0,1,month-to-month,0,101.5,0
27,75.7,1,month-to-month,0,79.3,0
64,65.45,0,month-to-month,1,113.1,0
20,45.72,0,month-to-month,1,89.5,0
17,33.66,1,one-year,0,77.1,0
49,76.72,2,month-to-month,0,114.4,0
45,66.99,1,month-to-month,1,85.0,0
10,107.65,1,month-to-month,0,62.1,1
59,68.4,1,one-year,0,111.0,0
14,67.75,2,two-year,1,87.8,1
57,56.66,2,one-year,1,107.1,0
0,76.34,4,month-to-month,1,74.1,1
57,72.5,1,one-year,1,47.7,0
56,85.03,0,one-year,0,150.7,0
56,49.57,2,month-to-month,1,144.1,0
47,51.29,2,month-to-month,0,120.9,0
33,50.42,2,one-year,0,76.4,1
50,75.82,0,month-to-month,1,79.5,0
19,89.97,0,one-year,1,138.4,0
56,50.82,1,month-to-month,1,77.6,0
40,51.5,1,month-to-month,0,67.9,0
33,66.28,2,month-to-month,1,155.5,0
36,55.08,1,one-year,1,88.3,0
40,79.04,2,two-year,1,151.9,0
2,14.96,0,month-to-month,1,41.1,0
10,43.47,2,month-to-month,0,108.1,0
17,44.35,1,month-to-month,1,162.5,0
8,13.59,1,month-to-month,1,91.0,0
31,40.73,1,two-year,1,80.8,1
48,41.7,1,month-to-month,1,49.1,0
47,55.98,1,month-to-month,1,127.9,0
33,82.26,1,month-to-month,0,63.0,1
61,55.1,2,two-year,0,86.7,0
40,39.38,2,month-to-month,1,46.8,0
5,58.86,2,one-year,1,144.5,0
55,80.98,1,month-to-month,1,130.4,0
41,40.48,0,month-to-month,0,88.9,0
45,41.79,1,one-year,0,49.6,0
40,71.17,4,month-to-month,1,143.8,0
39,55.57,2,one-year,1,77.2,0
6,72.95,1,month-to-month,0,51.3,0
40,59.73,0,one-year,1,28.3,0
57,74.03,1,one-year,0,67.4,0
21,39.3,1,one-year,0,39.1,0
43,59.76,0,month-to-month,0,68.2,0
2,55.79,0,one-year,0,116.1,0
25,35.68,0,two-year,0,76.9,1
31,28.73,0,month-to-month,1,102.4,0
70,73.71,0,month-to-month,1,64.7,0
15,52.98,0,one-year,1,92.3,0
19,39.55,0,month-to-month,0,157.2,0
29,58.08,1,one-year,0,77.8,0
71,82.56,1,one-year,0,103.5,1
61,14.39,0,month-to-month,1,35.2,0
2,30.07,0,month-to-month,0,143.2,1
16,41.54,0,month-to-month,1,73.3,0
59,89.22,4,month-to-month,1,126.8,0
4,65.65,1,two-year,1,85.7,0
61,75.35,3,month-to-month,0,111.4,0
20,37.2,2,month-to-month,0,113.5,0
66,37.61,1,one-year,0,74.2,0
21,68.96,2,month-to-month,0,128.2,0
31,61.17,1,one-year,1,63.4,1
47,70.97,4,month-to-month,0,117.2,0
9,56.25,0,month-to-month,1,76.3,0
40,65.56,1,month-to-month,0,102.2,0
36,63.16,1,one-year,1,73.8,0
56,75.56,1,one-year,1,91.7,0
71,76.14,1,one-year,0,52.4,0
47,27.6,2,two-year,1,98.7,0
29,15.05,1,one-year,0,91.5,1
29,80.03,0,one-year,1,71.1,0
30,83.75,1,month-to-month,1,88.1,1
58,39.59,1,two-year,1,94.7,0
23,22.8,2,one-year,1,68.4,0
12,61.98,4,two-year,0,85.5,1
24,78.62,1,month-to-month,1,54.8,0
1,95.95,2,month-to-month,1,172.1,0
7,70.33,1,one-year,0,127.1,0
6,52.57,2,month-to-month,0,99.6,0
55,42.14,2,month-to-month,1,131.0,0
52,60.23,1,two-year,1,20.7,0
50,54.01,1,month-to-month,0,5.0,0
33,39.7,2,month-to-month,1,76.0,0
51,100.98,1,month-to-month,1,41.8,1
11,95.7,2,month-to-month,0,81.7,1
64,82.72,0,one-year,0,97.2,0
36,41.58,3,two-year,1,122.2,0
67,77.1,1,two-year,1,50.2,0
10,72.79,0,one-year,1,104.0,1
35,68.85,2,one-year,0,90.5,0
50,84.99,1,month-to-month,1,102.2,0
35,72.71,1,two-year,1,71.8,0
32,74.8,1,month-to-month,1,138.4,1
11,72.74,1,month-to-month,0,86.4,1
27,66.82,0,two-year,1,152.1,0
17,24.33,1,two-year,0,62.3,0
21,61.67,1,month-to-month,0,116.0,1
49,48.88,3,one-year,1,87.9,0
45,34.4,1,month-to-month,1,78.5,0
43,93.64,1,month-to-month,0,112.1,0
26,94.58,0,month-to-month,1,79.5,0
69,87.18,1,month-to-month,0,5.0,1
6,65.1,1,month-to-month,0,5.0,1
24,87.01,0,month-to-month,0,134.5,0
8,60.24,1,month-to-month,0,133.1,1
24,64.06,1,month-to-month,1,156.1,0
69,38.13,1,two-year,1,89.4,0
26,67.94,2,one-year,1,44.8,0
65,61.21,2,two-year,0,75.3,0
35,33.95,1,month-to-month,0,90.4,0
50,58.98,2,one-year,0,54.8,0
32,58.41,1,one-year,1,147.7,0
19,95.95,2,month-to-month,0,168.4,0
55,77.88,3,month-to-month,0,106.7,1
69,60.23,2,month-to-month,1,89.6,0
18,64.98,1,month-to-month,1,44.7,0
56,60.88,2,month-to-month,0,144.1,0
18,55.94,0,month-to-month,0,92.7,0
51,38.35,1,month-to-month,1,79.9,0
56,56.98,0,one-year,0,106.8,0
32,45.08,0,month-to-month,0,69.5,0
53,34.99,2,month-to-month,1,95.1,0
19,70.22,0,one-year,0,39.5,1
5,67.83,3,month-to-month,0,128.0,0
6,24.27,0,month-to-month,0,86.3,0
32,57.55,0,month-to-month,0,130.6,1
64,79.91,1,month-to-month,0,83.0,1
9,81.18,0,month-to-month,0,85.2,0
32,80.52,3,month-to-month,1,47.6,1
50,60.78,1,month-to-month,0,116.6,0
14,43.1,1,two-year,1,59.3,0
51,38.33,1,two-year,1,73.0,0
22,66.89,2,month-to-month,0,90.0,1
58,67.59,1,month-to-month,0,94.2,0
41,85.75,1,month-to-month,1,30.3,0
39,82.0,0,one-year,1,81.9,0
12,57.36,3,one-year,1,117.8,0
33,35.12,0,month-to-month,0,76.8,0
61,53.62,1,month-to-month,0,82.1,1
1,64.34,0,month-to-month,0,95.7,0
54,55.96,1,two-year,1,85.6,0
35,48.44,0,two-year,1,53.9,0
51,65.06,1,month-to-month,0,88.7,0
47,49.92,1,month-to-month,1,124.8,0
31,47.44,1,month-to-month,0,53.2,0
22,66.23,1,one-year,1,76.9,0
45,51.96,2,two-year,0,41.6,0
10,64.88,0,month-to-month,1,122.9,1
42,65.46,0,month-to-month,1,86.8,0
6,37.21,0,month-to-month,1,60.2,0
46,50.38,1,month-to-month,0,93.2,0
45,88.76,1,one-year,1,47.9,1
6,36.76,2,month-to-month,1,53.8,0
54,17.67,0,two-year,0,38.9,0
29,22.76,0,month-to-month,0,52.7,0
56,60.58,1,month-to-month,1,137.5,0
2,60.62,1,month-to-month,0,64.3,1
12,57.65,2,month-to-month,0,106.3,0
35,84.28,1,month-to-month,0,60.7,0
13,10.0,1,one-year,0,116.6,0
23,67.92,2,month-to-month,0,54.1,1
47,91.23,1,month-to-month,1,91.4,0
10,37.44,1,month-to-month,0,91.8,0
48,52.4,1,month-to-month,1,171.5,0
7,44.94,1,two-year,0,112.1,0
12,42.11,0,two-year,0,69.2,0
42,53.47,1,month-to-month,0,114.0,0
57,88.55,2,one-year,1,164.8,0
12,96.75,2,one-year,1,33.0,0
21,53.28,0,two-year,0,60.5,1
66,98.1,0,month-to-month,0,81.7,1
71,60.71,0,month-to-month,0,75.4,0
41,95.07,2,month-to-month,0,78.4,1
32,58.13,1,two-year,1,44.4,0
24,62.62,2,one-year,0,139.1,0
44,67.31,0,month-to-month,1,40.2,0
42,123.58,2,month-to-month,1,83.0,0
21,77.03,0,one-year,0,126.6,1
1,45.85,0,two-year,1,88.9,0
10,79.38,2,month-to-month,0,55.7,1
69,52.76,3,one-year,1,42.8,0
30,50.2,1,month-to-month,0,82.0,0
34,78.17,2,month-to-month,1,63.5,0
33,60.62,2,month-to-month,0,97.2,1
56,65.57,1,one-year,0,40.9,1
4,60.28,0,two-year,1,118.5,0
5,66.73,1,month-to-month,0,94.0,1
19,68.5,1,month-to-month,0,96.6,0
35,21.26,0,month-to-month,1,140.4,0
48,73.33,1,month-to-month,0,74.7,0
35,40.36,2,month-to-month,1,64.6,0
31,31.15,3,month-to-month,1,70.8,0
67,58.83,2,month-to-month,1,83.3,0
11,61.68,3,month-to-month,0,86.8,0
41,46.13,3,month-to-month,0,60.9,0
39,76.62,0,one-year,1,19.2,0
34,33.16,1,month-to-month,0,70.4,0
58,51.86,1,one-year,0,102.6,0
19,48.3,1,two-year,0,94.8,0
68,59.07,2,month-to-month,0,132.0,0
23,65.58,3,month-to-month,1,158.4,0
39,39.84,1,month-to-month,1,116.6,0
37,74.49,0,month-to-month,1,138.4,0
61,61.26,3,month-to-month,1,116.8,0
31,22.16,1,month-to-month,0,149.8,0
20,20.83,3,month-to-month,0,154.8,0
1,59.75,1,month-to-month,0,123.3,1
26,55.58,3,month-to-month,1,114.7,0
59,57.93,0,one-year,0,82.8,0
0,59.44,0,month-to-month,1,88.6,0
64,64.51,0,month-to-month,0,78.2,1
39,78.95,2,one-year,1,111.7,1
10,37.78,0,month-to-month,1,64.8,0
21,36.56,0,one-year,1,83.3,0
39,38.13,1,month-to-month,0,7.6,0
22,65.78,1,month-to-month,1,150.3,0
7,84.9,1,two-year,0,82.3,1
47,51.37,2,month-to-month,0,105.9,0
48,10.0,0,month-to-month,0,141.0,0
8,25.92,3,two-year,0,100.5,0
20,43.34,0,one-year,1,140.6,0
17,48.85,2,one-year,0,46.5,1
47,51.83,3,month-to-month,0,173.9,0
52,60.77,0,month-to-month,1,128.0,0
52,53.77,4,one-year,1,97.3,0
67,80.99,1,month-to-month,1,139.9,1
55,46.48,0,month-to-month,1,49.1,0
23,42.75,0,one-year,0,79.9,0
7,69.58,1,month-to-month,1,140.5,0
44,29.29,0,month-to-month,0,24.7,0
65,67.79,1,month-to-month,0,109.6,0
70,62.05,0,month-to-month,0,108.6,0
16,57.05,1,one-year,1,158.9,0
17,91.77,2,two-year,0,34.6,1
2,47.56,4,month-to-month,1,146.3,0
10,101.21,2,month-to-month,0,70.4,1
39,55.49,3,month-to-month,0,74.4,1
39,34.46,0,month-to-month,0,47.2,0
26,61.4,1,month-to-month,0,51.9,0
22,38.48,1,two-year,0,104.1,0
59,44.96,0,month-to-month,1,51.1,0
33,67.94,1,month-to-month,0,115.9,0
58,71.11,1,two-year,0,66.8,0
69,47.56,1,month-to-month,1,47.5,0
22,79.75,1,two-year,0,71.5,0
14,83.15,2,month-to-month,0,101.8,1
68,88.73,1,month-to-month,0,80.3,1
45,70.59,0,two-year,0,91.2,0
20,87.27,1,month-to-month,0,114.4,0
44,22.38,3,month-to-month,1,127.9,0
37,53.64,1,month-to-month,0,79.1,0
65,42.66,0,one-year,1,53.5,0
18,62.38,0,month-to-month,0,92.7,0
71,48.57,2,month-to-month,1,106.5,0
67,56.68,3,one-year,1,38.9,0
13,97.64,3,one-year,0,58.8,1
11,56.61,1,month-to-month,0,64.8,0
38,68.28,1,month-to-month,0,82.7,1
3,55.35,0,month-to-month,1,63.4,1
21,61.51,0,month-to-month,1,114.7,0
31,60.12,1,month-to-month,0,33.8,0
69,68.97,0,month-to-month,1,34.7,0
71,83.31,1,month-to-month,0,78.3,0
10,92.95,3,month-to-month,0,83.9,0
64,66.19,0,one-year,1,39.1,0
6,71.79,1,month-to-month,0,68.8,1
53,36.98,3,two-year,0,76.0,0
60,58.24,2,two-year,1,76.2,0
64,78.81,0,month-to-month,0,95.3,1
16,77.32,0,two-year,1,66.8,0
64,64.23,1,two-year,0,141.7,0
8,77.73,1,month-to-month,0,107.1,0
37,69.82,3,one-year,0,61.8,0
33,84.01,0,month-to-month,1,93.3,0
22,65.79,1,one-year,0,94.3,0
1,52.89,5,month-to-month,0,132.5,0
55,66.72,2,month-to-month,1,69.0,1
24,10.0,1,month-to-month,1,116.9,0
47,67.66,0,two-year,1,91.5,0
29,10.0,0,month-to-month,1,142.2,0
26,25.53,0,month-to-month,0,135.2,0
63,69.04,2,month-to-month,1,96.9,0
6,69.55,1,month-to-month,1,80.8,0
53,36.75,1,one-year,1,107.7,0
53,45.76,1,one-year,1,83.7,0
27,87.41,3,month-to-month,0,148.8,1
18,50.32,0,month-to-month,0,92.7,0
0,104.86,4,month-to-month,1,75.8,1
67,59.96,3,month-to-month,0,73.9,1
68,68.16,2,one-year,0,47.5,0
17,92.34,1,one-year,0,109.5,0
2,62.62,0,month-to-month,1,61.3,0
8,39.95,2,month-to-month,1,128.4,1
4,57.81,0,month-to-month,1,44.7,0
59,59.29,3,month-to-month,1,94.5,0
64,32.71,1,month-to-month,1,130.3,0
11,54.88,1,one-year,1,14.7,0
53,45.16,1,month-to-month,0,160.6,0
12,78.49,1,two-year,1,75.1,1
26,60.69,2,month-to-month,0,94.9,0
43,54.34,1,month-to-month,0,110.0,0
51,57.88,1,month-to-month,0,115.4,0
62,64.46,1,month-to-month,1,99.6,0
3,72.34,1,month-to-month,1,124.9,0
14,40.01,1,month-to-month,1,108.2,0
20,39.17,2,one-year,1,151.6,0
22,82.09,3,month-to-month,1,108.3,0
71,51.75,1,one-year,0,158.8,0
55,31.66,2,one-year,1,121.5,0
23,68.88,1,month-to-month,1,26.8,0
69,69.27,2,month-to-month,1,181.4,1
35,29.39,1,month-to-month,0,69.9,0
36,64.59,0,month-to-month,0,142.3,0
31,74.71,2,one-year,1,90.9,1
10,67.49,0,two-year,0,127.1,0
67,72.64,0,month-to-month,0,65.9,0
1,31.91,1,month-to-month,0,111.9,1
12,66.62,2,one-year,0,81.1,1
16,53.95,1,one-year,0,145.3,0
20,50.34,1,month-to-month,1,105.4,0
9,77.41,1,one-year,1,122.8,1
1,89.59,2,month-to-month,1,14.3,1
48,95.89,2,month-to-month,0,87.0,0
69,86.3,0,month-to-month,0,104.4,1
8,57.81,1,month-to-month,0,97.8,0
21,67.05,0,two-year,0,123.6,0
36,75.34,1,month-to-month,0,77.2,0
66,62.42,2,month-to-month,1,91.7,0
49,62.62,0,month-to-month,1,131.3,0
55,76.48,1,month-to-month,0,10.2,0
41,58.81,1,month-to-month,0,110.6,0
30,45.41,1,month-to-month,0,78.3,0
14,51.71,0,one-year,0,58.1,0
62,72.68,1,month-to-month,0,101.8,0
57,60.06,0,one-year,0,133.0,0
1,66.8,2,month-to-month,0,126.4,1
51,73.4,4,one-year,0,85.3,1
6,52.5,3,one-year,1,120.7,0
53,75.12,1,month-to-month,0,120.4,0
59,67.58,2,month-to-month,0,86.9,1
9,35.3,2,two-year,0,65.7,0
31,88.85,2,month-to-month,0,67.8,1
8,49.99,1,one-year,1,119.3,0
40,26.9,2,month-to-month,1,88.5,0
66,39.1,0,month-to-month,1,53.4,0
5,39.58,0,month-to-month,1,31.0,0
28,61.04,0,two-year,0,119.1,1
70,54.52,1,month-to-month,0,70.9,0
21,53.26,0,one-year,0,101.6,0
9,72.39,2,one-year,0,133.4,1
35,66.8,3,month-to-month,1,44.2,0
36,66.32,4,month-to-month,0,88.4,0
47,68.2,1,month-to-month,0,84.0,0
22,72.32,3,month-to-month,0,103.3,0
68,17.84,1,one-year,0,133.4,0
37,52.71,0,month-to-month,1,43.5,0
20,16.4,1,month-to-month,0,109.9,0
69,60.72,0,one-year,0,126.1,0
66,59.91,0,month-to-month,0,83.5,0
35,80.91,0,month-to-month,1,85.2,0
1,83.75,2,month-to-month,0,104.6,1
42,64.06,0,month-to-month,1,102.1,0
39,49.99,1,one-year,0,110.4,0
10,69.7,1,month-to-month,0,109.6,1
45,49.44,1,month-to-month,1,55.6,0
60,59.97,1,month-to-month,0,124.7,0
7,79.72,4,month-to-month,0,130.8,1
52,48.84,2,one-year,1,96.5,0
10,76.11,1,month-to-month,0,37.7,1
53,73.55,3,two-year,0,86.0,1
30,40.9,0,one-year,1,96.8,0
0,79.48,1,month-to-month,0,49.9,1
69,73.97,2,one-year,0,77.4,0
11,62.04,0,month-to-month,0,40.7,1
42,44.75,0,two-year,1,111.3,0
13,42.82,1,month-to-month,0,95.8,0
67,49.25,0,month-to-month,0,32.4,1
53,70.85,1,month-to-month,1,102.3,0
57,40.89,1,month-to-month,1,88.0,0
31,68.75,1,one-year,1,108.1,0
33,35.16,3,month-to-month,0,76.3,0
45,55.92,2,month-to-month,0,61.9,0
56,62.19,1,month-to-month,0,63.0,1
60,108.9,0,two-year,1,71.2,0
1,32.45,1,one-year,0,90.7,0
47,89.44,1,month-to-month,1,95.2,1
7,63.0,1,month-to-month,0,83.3,1
20,68.22,1,month-to-month,1,75.2,0
59,62.37,0,two-year,1,77.7,0
18,68.89,0,one-year,0,177.8,0
57,56.93,0,month-to-month,1,63.0,0
33,89.08,0,two-year,1,70.5,0
16,50.87,0,month-to-month,0,205.3,0
24,82.64,1,one-year,0,104.7,1
38,47.11,0,month-to-month,1,41.7,0
55,58.79,0,month-to-month,0,119.5,0
43,38.56,0,month-to-month,0,58.1,0
67,69.1,1,month-to-month,0,121.8,1
62,88.9,1,two-year,1,82.6,0
54,58.45,0,month-to-month,0,74.6,0
43,56.06,1,one-year,1,146.3,0
20,37.71,0,one-year,0,109.8,0
29,55.41,0,one-year,0,124.1,0
8,28.14,4,two-year,1,105.2,1
26,41.74,1,month-to-month,0,74.4,0
66,64.54,1,month-to-month,0,111.4,0
30,86.38,2,month-to-month,0,132.3,0
8,116.18,2,month-to-month,1,94.7,1
46,48.27,1,two-year,0,153.1,0
69,88.71,3,month-to-month,0,119.8,1
62,64.88,2,month-to-month,0,97.4,0
19,56.98,0,month-to-month,0,98.8,0
32,68.65,0,month-to-month,0,94.8,1
38,61.24,1,one-year,0,46.2,0
17,62.21,2,month-to-month,0,86.8,1
19,51.83,0,one-year,0,97.7,0
17,32.04,1,one-year,1,75.4,0
71,29.13,2,one-year,1,101.8,0
53,73.06,1,month-to-month,0,90.7,0
60,54.47,1,one-year,0,117.1,0
58,48.08,3,month-to-month,0,113.2,0
69,60.17,1,month-to-month,1,95.9,0
7,75.9,0,one-year,0,42.1,1
63,63.61,0,one-year,0,152.7,0
4,46.88,1,month-to-month,0,85.0,0
34,84.53,1,two-year,0,87.2,0
42,91.58,0,month-to-month,0,78.0,1
25,69.89,1,month-to-month,0,72.9,0
10,79.47,3,two-year,1,144.0,1
13,84.84,1,month-to-month,1,138.5,1
59,82.6,2,one-year,1,105.6,0
22,72.28,0,month-to-month,1,86.2,1
22,71.97,0,one-year,0,111.7,1
66,70.39,0,one-year,1,92.6,0
10,38.05,3,one-year,1,83.3,1
65,74.01,1,month-to-month,1,101.8,0
66,32.88,1,one-year,1,74.6,0
43,44.11,0,month-to-month,0,98.8,0
11,86.07,1,two-year,0,97.1,1
11,76.8,2,month-to-month,0,111.1,1
20,89.75,3,month-to-month,0,68.3,1
41,54.57,3,two-year,0,114.9,0
11,36.96,0,month-to-month,0,58.3,0
32,55.19,0,month-to-month,0,70.0,0
8,62.04,1,one-year,1,71.5,0
38,61.58,0,month-to-month,1,52.5,0
1,82.67,0,month-to-month,1,125.5,0
51,52.77,1,month-to-month,0,56.1,0
3,67.04,3,month-to-month,1,65.5,0
14,40.23,2,month-to-month,1,133.9,0
12,69.01,1,month-to-month,1,70.0,0
59,60.06,1,month-to-month,1,83.4,0
3,45.0,2,month-to-month,0,54.6,1
30,55.28,1,month-to-month,0,119.2,0
42,56.32,2,one-year,1,119.6,0
37,54.6,0,one-year,1,115.9,0
49,95.43,1,month-to-month,0,108.8,1
57,58.03,3,month-to-month,0,92.6,0
28,55.12,2,two-year,0,71.6,0
59,18.05,1,month-to-month,0,61.5,0
22,42.12,1,month-to-month,1,135.1,0
70,54.74,1,month-to-month,1,116.8,0
36,46.28,1,month-to-month,0,65.7,0
52,87.63,0,one-year,0,91.4,1
63,56.7,2,two-year,0,79.5,0
57,85.77,1,two-year,0,50.5,0
61,61.23,0,month-to-month,0,96.2,0
38,60.74,0,month-to-month,1,75.5,0
3,58.22,3,month-to-month,1,56.7,0
35,60.08,0,month-to-month,0,38.2,0
13,94.38,1,month-to-month,1,35.3,0
64,13.61,3,one-year,1,77.0,0
17,19.97,2,month-to-month,0,87.0,0
16,49.14,1,two-year,1,59.4,0
17,60.29,1,month-to-month,1,112.8,0
46,73.8,3,month-to-month,1,87.7,0
41,69.46,1,two-year,0,110.2,0
68,52.32,0,one-year,0,83.6,0
29,80.38,0,month-to-month,0,62.5,0
20,80.6,1,month-to-month,0,94.0,1
3,63.68,0,month-to-month,0,45.8,1
0,79.25,2,month-to-month,1,108.9,1
26,65.45,1,month-to-month,0,57.2,0
66,48.77,2,month-to-month,0,122.1,0
37,73.96,5,one-year,1,78.2,0
64,62.21,2,month-to-month,0,127.2,0
7,60.03,0,one-year,0,50.7,0
6,89.46,0,one-year,1,66.3,1
60,10.98,3,month-to-month,0,103.3,0
7,31.65,0,month-to-month,0,131.0,1
3,36.26,1,month-to-month,1,148.3,0
29,52.73,5,one-year,0,91.4,0
66,54.91,0,one-year,0,154.3,0
49,29.85,0,one-year,0,79.9,0
7,40.3,1,month-to-month,1,128.5,0
60,42.78,0,month-to-month,0,57.0,0
60,109.15,1,month-to-month,1,104.7,0
57,96.03,4,month-to-month,0,8.0,1
64,51.77,1,one-year,1,50.7,0
17,52.73,1,month-to-month,0,106.3,0
70,37.02,0,month-to-month,0,44.1,0
23,21.84,2,month-to-month,0,104.9,1
57,57.66,1,month-to-month,1,121.7,0
41,40.04,1,one-year,0,72.5,0
