tenure_months,monthly_charges,support_tickets_3m,contract_type,autopay,usage_gb,churn
56,58.3,0,month-to-month,0,56.1,0
45,28.0,0,two-year,0,73.4,0
46,44.76,1,one-year,0,56.2,0
44,62.97,1,two-year,1,86.5,0
56,67.32,0,one-year,0,93.6,0
53,68.35,1,one-year,0,79.3,0
9,33.59,2,one-year,0,148.6,0
59,77.09,1,month-to-month,0,64.8,1
38,44.0,0,month-to-month,0,138.7,1
23,72.66,3,month-to-month,0,53.6,1
37,59.79,1,month-to-month,0,92.5,0
69,32.47,1,month-to-month,1,131.4,0
61,53.68,1,two-year,0,129.6,0
60,67.31,3,month-to-month,1,75.3,0
33,72.26,1,month-to-month,0,109.4,0
56,57.18,0,one-year,0,104.7,0
27,90.64,1,month-to-month,0,71.1,0
49,80.15,0,two-year,0,111.6,0
46,54.87,0,month-to-month,1,155.2,1
17,75.0,1,two-year,1,106.5,1
19,98.68,0,one-year,1,109.8,0
4,99.21,1,month-to-month,1,113.5,1
10,35.44,2,month-to-month,0,38.9,0
31,41.47,2,month-to-month,0,106.1,0
34,89.7,0,month-to-month,1,54.4,0
11,38.83,0,month-to-month,0,69.4,1
30,33.55,0,two-year,0,165.7,0
43,50.28,3,month-to-month,1,81.1,0
16,68.4,2,one-year,1,64.1,1
24,57.95,2,month-to-month,1,130.3,0
26,46.99,2,two-year,0,56.8,0
36,46.52,1,month-to-month,1,74.3,0
26,45.75,0,month-to-month,0,133.7,0
53,42.41,0,month-to-month,0,91.5,0
23,105.63,2,month-to-month,0,35.3,0
31,65.95,0,one-year,1,109.0,0
27,77.74,0,month-to-month,1,76.1,0
13,50.22,0,month-to-month,1,143.9,0
49,56.28,2,month-to-month,0,68.8,1
16,45.73,1,one-year,0,126.8,1
21,10.0,0,month-to-month,0,152.1,0
57,32.44,0,month-to-month,1,60.2,0
68,23.79,6,month-to-month,0,83.2,1
48,15.0,0,month-to-month,0,103.6,0
65,36.09,0,month-to-month,1,60.0,0
61,86.5,0,two-year,0,99.5,0
34,59.11,0,month-to-month,1,82.1,0
55,85.81,1,one-year,0,81.4,0
23,68.22,2,month-to-month,1,91.7,0
33,75.65,1,month-to-month,0,92.5,0
38,41.98,0,month-to-month,0,95.7,0
69,70.48,0,month-to-month,0,69.0,0
61,74.57,1,month-to-month,0,70.6,0
35,48.47,3,month-to-month,1,85.8,0
46,71.19,2,month-to-month,0,88.4,0
14,71.32,2,two-year,0,74.6,0
57,49.01,0,month-to-month,1,101.3,0
39,37.54,1,month-to-month,0,26.5,0
38,36.32,0,month-to-month,1,64.4,0
55,61.73,0,month-to-month,1,80.2,0
45,66.54,1,one-year,0,60.0,0
5,44.15,1,month-to-month,1,147.0,0
20,60.53,3,month-to-month,0,90.7,0
12,71.41,0,month-to-month,0,96.2,0
52,72.36,1,month-to-month,0,73.1,0
2,91.04,4,two-year,1,89.4,1
14,85.54,0,month-to-month,1,47.5,0
43,39.97,1,one-year,0,84.1,0
50,93.67,1,month-to-month,1,57.2,1
36,49.38,1,two-year,0,80.3,0
61,80.9,0,month-to-month,1,5.0,0
66,61.36,0,month-to-month,1,50.5,0
9,51.76,1,one-year,1,141.2,0
68,23.85,1,month-to-month,1,119.1,0
44,56.57,0,month-to-month,1,136.2,0
45,28.81,0,two-year,0,138.6,0
6,79.35,2,month-to-month,1,113.6,1
44,90.34,3,one-year,1,74.1,0
52,44.06,2,one-year,1,53.7,0
41,66.04,1,one-year,0,130.1,0
6,45.49,0,two-year,1,92.3,0
37,47.43,1,month-to-month,0,177.3,1
67,75.49,0,month-to-month,0,77.2,1
52,59.23,0,month-to-month,0,159.1,0
9,94.79,0,one-year,0,84.5,0
69,50.36,2,one-year,1,136.8,0
69,79.99,0,month-to-month,0,149.4,0
12,61.95,1,month-to-month,1,54.2,0
57,75.92,2,month-to-month,1,73.0,0
29,51.06,3,month-to-month,0,53.8,0
42,59.01,1,one-year,1,47.0,0
32,57.69,1,month-to-month,0,113.3,0
56,43.28,0,one-year,1,83.1,0
71,73.24,2,one-year,1,91.8,0
57,73.0,0,two-year,0,109.5,0
67,71.87,0,month-to-month,1,25.0,0
68,90.74,1,two-year,0,135.0,0
6,88.99,3,one-year,0,77.8,0
18,52.5,0,one-year,1,108.6,0
51,67.46,0,month-to-month,0,111.7,0
42,47.53,1,month-to-month,1,138.0,0
3,60.47,0,one-year,0,86.3,0
6,48.01,1,month-to-month,0,15.7,0
37,92.4,2,month-to-month,1,92.0,1
44,67.27,2,month-to-month,0,97.0,1
12,55.64,2,month-to-month,1,53.8,0
12,83.87,1,month-to-month,0,95.2,0
9,16.59,0,month-to-month,1,77.4,0
40,19.72,0,month-to-month,1,43.0,0
0,75.92,1,two-year,0,113.5,1
41,61.21,2,two-year,0,70.3,0
34,65.01,1,month-to-month,0,75.8,0
33,33.47,1,month-to-month,1,73.8,0
48,59.54,0,month-to-month,0,133.2,0
37,100.07,2,month-to-month,0,88.6,1
52,76.48,2,two-year,1,92.8,0
55,63.39,0,month-to-month,0,74.6,0
66,51.22,0,month-to-month,0,106.2,0
57,52.11,0,month-to-month,0,137.2,0
37,17.42,1,month-to-month,0,112.7,0
35,65.15,1,one-year,1,114.0,0
16,76.91,2,one-year,1,111.2,0
43,28.49,1,month-to-month,1,41.7,0
10,46.77,2,month-to-month,1,59.3,1
67,36.85,1,two-year,0,82.8,0
60,40.69,1,month-to-month,0,64.6,0
8,61.07,2,one-year,1,52.7,0
56,18.31,1,two-year,1,24.5,0
8,72.29,1,month-to-month,1,42.9,0
51,75.08,0,two-year,0,81.0,0
6,54.98,3,month-to-month,1,87.6,0
35,10.39,3,one-year,1,62.2,0
47,40.07,3,month-to-month,1,92.8,0
52,84.66,0,month-to-month,1,74.8,0
30,10.0,0,month-to-month,0,128.2,0
66,53.05,2,month-to-month,0,84.3,0
55,36.4,2,month-to-month,0,114.4,0
14,76.09,0,month-to-month,0,97.1,0
48,46.5,2,month-to-month,1,40.9,1
52,68.08,4,month-to-month,0,86.8,0
24,71.31,1,month-to-month,0,46.8,1
53,96.72,1,two-year,0,86.2,0
64,55.94,1,two-year,1,63.9,0
58,67.52,1,month-to-month,0,103.4,0
54,30.3,0,month-to-month,0,43.0,0
45,83.81,0,one-year,1,90.5,0
19,44.79,2,one-year,0,110.0,1
57,48.78,2,month-to-month,0,121.8,1
26,59.56,1,one-year,0,63.3,0
38,28.74,0,month-to-month,1,90.6,0
22,64.58,1,month-to-month,1,96.4,0
22,79.35,4,one-year,1,144.1,0
11,65.86,1,one-year,0,38.2,0
69,28.22,0,one-year,1,58.1,0
10,57.52,1,month-to-month,1,188.2,0
6,74.84,1,month-to-month,0,80.4,0
67,22.44,1,month-to-month,0,23.8,0
39,38.5,0,month-to-month,0,69.6,0
31,77.53,0,month-to-month,1,5.0,0
53,65.4,2,month-to-month,0,98.4,0
27,68.24,2,month-to-month,0,118.3,1
9,97.19,3,one-year,1,58.1,1
52,69.37,0,month-to-month,1,73.5,0
12,73.16,4,month-to-month,1,122.3,1
39,114.21,2,one-year,1,28.7,1
68,55.72,0,month-to-month,0,43.7,0
67,44.04,0,two-year,1,82.0,0
25,68.56,3,month-to-month,0,63.7,0
56,68.78,1,month-to-month,0,79.7,0
44,49.47,1,two-year,1,45.8,1
34,39.35,1,month-to-month,0,97.5,1
10,106.2,1,one-year,0,84.8,1
27,66.54,4,one-year,1,109.2,1
46,45.35,3,month-to-month,0,97.0,1
71,78.32,3,one-year,0,97.2,1
0,57.82,1,two-year,1,39.4,1
51,54.94,0,two-year,1,107.2,0
60,71.25,2,month-to-month,1,78.4,0
68,34.16,3,month-to-month,0,84.2,0
30,67.05,2,one-year,1,126.7,0
8,98.26,0,month-to-month,1,64.8,1
19,69.32,2,month-to-month,0,137.3,1
61,52.48,2,month-to-month,0,140.6,0
63,49.86,0,month-to-month,0,116.3,1
45,51.79,6,month-to-month,0,55.7,1
8,54.92,0,month-to-month,0,13.5,1
8,52.44,2,month-to-month,1,127.8,0
34,78.33,1,month-to-month,1,93.9,0
42,25.34,1,two-year,0,63.9,0
2,77.24,1,month-to-month,1,131.1,0
49,52.41,0,month-to-month,0,59.8,0
39,67.54,2,month-to-month,0,75.2,0
0,37.46,0,month-to-month,1,108.4,0
6,86.57,1,two-year,0,51.0,1
32,84.91,2,two-year,1,86.2,0
52,79.19,1,month-to-month,0,128.1,0
59,29.7,1,month-to-month,0,97.4,0
31,76.58,2,month-to-month,0,133.7,0
21,68.1,1,month-to-month,0,129.7,0
69,27.89,2,month-to-month,1,90.3,0
33,59.51,3,month-to-month,1,8.2,1
22,67.29,1,month-to-month,0,51.3,0
31,71.12,3,month-to-month,0,116.7,1
0,63.55,2,month-to-month,1,35.7,0
21,65.82,1,month-to-month,1,78.6,0
37,89.47,4,month-to-month,0,101.8,0
66,84.52,1,month-to-month,0,141.4,0
53,10.0,0,month-to-month,0,69.9,0
56,53.65,1,month-to-month,0,67.5,0
39,56.71,1,month-to-month,0,88.2,0
7,24.96,1,month-to-month,0,102.3,0
28,61.88,1,one-year,0,84.6,0
71,84.98,2,two-year,0,126.7,1
3,38.27,3,month-to-month,0,62.0,1
63,66.73,2,month-to-month,1,94.2,0
49,41.68,1,one-year,1,105.6,0
20,46.56,1,one-year,0,76.0,0
56,89.55,0,month-to-month,0,119.4,0
60,49.15,5,month-to-month,0,95.2,1
3,69.24,0,month-to-month,1,117.6,0
7,22.58,1,month-to-month,1,96.8,0
47,97.25,1,month-to-month,0,103.2,0
71,72.05,0,month-to-month,1,67.9,0
1,56.35,0,month-to-month,1,67.9,0
47,71.51,0,month-to-month,1,132.9,0
9,31.8,0,month-to-month,0,112.2,0
46,83.65,1,one-year,0,54.2,0
44,53.52,3,month-to-month,1,96.3,1
6,55.92,1,month-to-month,0,6.9,0
49,50.17,2,month-to-month,1,69.9,0
64,48.39,0,one-year,1,123.6,0
62,73.89,2,month-to-month,0,85.6,0
2,65.12,3,month-to-month,0,94.1,0
17,73.03,0,month-to-month,0,5.0,1
17,59.82,0,one-year,0,76.3,0
32,70.26,2,one-year,1,101.8,0
10,51.62,1,two-year,1,106.3,0
61,104.59,1,one-year,0,123.7,1
55,28.64,2,month-to-month,1,82.6,0
58,85.22,0,month-to-month,0,84.2,0
14,87.36,1,month-to-month,1,43.4,0
1,42.96,0,one-year,0,82.8,0
65,104.59,1,month-to-month,1,45.8,0
20,79.91,1,month-to-month,1,25.3,0
47,79.42,1,two-year,0,52.0,1
65,60.56,0,month-to-month,1,142.8,0
2,55.66,1,month-to-month,1,80.5,0
0,55.81,1,month-to-month,0,97.7,1
0,67.81,0,two-year,1,72.0,0
11,88.02,2,two-year,1,27.3,0
3,63.63,0,month-to-month,1,122.8,0
59,41.77,3,two-year,0,14.0,0
43,76.49,1,two-year,1,70.6,0
70,78.42,0,one-year,1,88.1,0
57,73.09,1,two-year,1,98.1,0
69,74.91,1,month-to-month,0,64.6,0
17,54.58,0,one-year,0,25.7,0
20,41.42,1,month-to-month,1,62.0,1
61,42.64,1,one-year,0,63.8,0
17,27.29,1,month-to-month,0,62.9,0
4,64.74,0,one-year,0,124.0,1
48,58.33,1,two-year,1,47.5,0
57,51.2,1,month-to-month,0,100.5,0
69,10.0,0,two-year,1,95.5,0
66,35.05,0,month-to-month,1,123.6,0
8,82.42,2,month-to-month,1,85.3,0
55,46.71,1,month-to-month,1,117.7,0
60,67.21,1,one-year,0,84.0,0
50,32.19,2,month-to-month,1,105.2,0
59,88.77,0,month-to-month,0,37.4,0
60,57.12,0,one-year,1,5.0,0
32,65.8,0,month-to-month,0,103.2,0
2,106.52,2,month-to-month,1,105.1,1
32,90.33,2,two-year,1,106.6,0
14,53.87,0,one-year,0,71.6,1
8,48.14,1,one-year,1,142.1,0
8,53.49,2,month-to-month,0,73.9,0
50,70.2,5,two-year,0,104.7,1
36,57.9,3,month-to-month,0,110.8,0
38,52.1,2,month-to-month,0,150.2,0
53,89.34,3,month-to-month,1,78.9,0
39,57.72,4,month-to-month,1,67.1,0
45,105.99,1,one-year,0,37.6,1
6,61.81,1,one-year,1,144.3,1
61,95.71,2,month-to-month,1,104.7,0
32,67.15,0,month-to-month,1,105.9,0
11,79.26,0,one-year,0,199.1,0
58,45.51,2,two-year,1,101.4,0
52,42.92,1,month-to-month,0,44.4,0
3,69.19,1,month-to-month,1,83.1,1
13,79.77,0,month-to-month,1,55.9,1
1,60.81,0,month-to-month,1,76.1,1
19,34.27,1,month-to-month,0,75.9,0
7,32.79,2,month-to-month,0,69.5,0
51,31.46,0,one-year,1,41.2,0
37,24.65,0,month-to-month,0,145.7,1
70,62.19,1,month-to-month,0,100.5,0
53,82.5,2,month-to-month,1,82.1,0
44,59.73,0,two-year,1,116.5,0
36,14.79,0,month-to-month,0,106.5,0
3,56.18,2,month-to-month,0,99.6,1
5,56.74,4,month-to-month,1,114.0,1
44,101.92,3,one-year,0,94.7,1
0,30.86,0,two-year,0,113.5,0
3,52.19,2,month-to-month,0,116.4,0
15,94.12,2,month-to-month,0,95.7,1
63,69.0,3,month-to-month,1,82.3,0
33,71.27,1,one-year,0,143.6,0
51,62.29,0,two-year,0,73.3,0
29,66.6,1,month-to-month,0,103.7,1
12,75.55,0,month-to-month,0,104.5,0
26,43.81,2,one-year,0,68.7,0
6,77.56,2,one-year,1,61.7,0
55,32.54,0,month-to-month,1,77.6,0
13,66.57,0,month-to-month,0,72.8,0
27,63.57,1,month-to-month,0,39.0,0
70,47.67,0,one-year,0,67.2,0
42,59.55,0,one-year,0,99.3,0
33,47.55,4,one-year,1,134.3,0
39,38.57,0,one-year,0,109.4,0
56,52.93,1,month-to-month,1,5.0,0
18,37.92,1,month-to-month,1,112.4,0
45,66.46,1,month-to-month,0,70.5,0
62,37.0,3,two-year,1,105.9,0
41,74.24,1,month-to-month,0,89.5,1
32,36.37,2,month-to-month,0,83.3,0
10,48.67,2,month-to-month,1,86.4,1
17,47.51,1,one-year,0,89.2,0
68,86.5,1,one-year,1,137.1,0
38,66.61,0,one-year,1,89.3,0
21,55.77,2,month-to-month,0,128.0,0
30,69.97,1,two-year,1,122.9,0
41,17.86,2,one-year,0,113.3,0
38,59.14,2,one-year,1,27.5,1
50,99.95,2,one-year,0,129.1,1
18,62.65,0,two-year,0,74.0,0
46,61.36,1,two-year,0,115.1,0
31,70.96,1,month-to-month,1,56.0,0
67,77.91,1,month-to-month,0,48.5,0
11,20.05,2,month-to-month,1,159.2,0
10,26.35,0,one-year,0,56.5,0
33,64.21,1,one-year,0,130.1,0
36,45.7,1,month-to-month,0,94.1,0
49,86.24,2,month-to-month,0,75.3,1
29,53.7,0,two-year,1,88.4,0
65,21.31,1,two-year,0,44.5,0
34,34.64,1,two-year,1,89.5,0
9,10.0,0,month-to-month,1,52.1,0
8,55.32,0,one-year,0,76.2,0
70,56.23,2,one-year,1,122.4,0
9,51.51,1,month-to-month,1,98.9,0
68,81.58,1,month-to-month,1,38.1,1
20,83.97,3,two-year,0,119.8,0
6,56.59,0,month-to-month,1,89.8,0
21,17.31,3,month-to-month,1,71.0,1
44,72.35,0,one-year,0,116.1,0
30,71.11,2,one-year,1,84.1,1
56,66.19,2,month-to-month,0,49.2,0
43,79.63,1,one-year,1,154.7,0
28,36.7,0,month-to-month,1,89.4,0
45,100.18,0,one-year,1,87.2,0
69,40.81,3,month-to-month,1,75.8,0
29,74.98,3,one-year,1,131.3,0
11,26.25,2,one-year,1,71.6,0
29,41.39,2,month-to-month,0,35.9,0
60,90.33,1,month-to-month,0,66.2,0
15,54.78,2,one-year,0,136.4,0
68,76.8,0,month-to-month,0,119.1,0
42,64.74,1,month-to-month,1,81.1,1
43,57.9,1,month-to-month,1,138.1,0
22,87.28,1,two-year,0,116.2,1
66,55.27,1,month-to-month,0,80.7,0
2,24.39,2,month-to-month,1,84.2,0
21,43.94,1,two-year,0,101.5,0
30,71.02,1,month-to-month,1,60.9,0
34,67.91,1,month-to-month,1,90.2,0
34,28.66,1,month-to-month,0,100.8,0
10,45.51,0,month-to-month,0,31.0,1
16,48.37,0,month-to-month,0,83.4,1
6,52.69,0,one-year,0,79.4,0
41,32.48,1,month-to-month,0,126.0,0
25,47.43,1,one-year,0,25.4,0
40,45.43,0,month-to-month,0,76.6,0
42,75.43,1,month-to-month,0,73.1,1
50,76.18,3,month-to-month,0,123.6,0
39,57.08,0,month-to-month,1,88.5,0
46,52.16,3,one-year,0,152.9,0
42,62.8,1,month-to-month,1,113.2,1
46,43.67,0,month-to-month,0,75.6,0
44,37.06,1,month-to-month,0,98.4,1
22,41.2,1,one-year,0,77.6,0
17,47.3,1,month-to-month,1,120.1,0
56,36.73,1,one-year,0,43.4,0
24,63.24,1,month-to-month,0,61.2,0
39,74.59,1,month-to-month,0,105.9,0
14,28.26,0,one-year,1,132.9,0
31,60.5,0,month-to-month,0,12.9,0
38,55.6,0,month-to-month,0,138.1,0
45,66.83,0,two-year,1,85.1,0
37,59.74,2,month-to-month,0,24.1,0
25,30.93,1,month-to-month,0,5.0,0
69,34.75,0,month-to-month,1,36.5,0
36,60.59,1,month-to-month,0,89.3,0
58,80.58,0,one-year,0,87.7,0
53,15.72,4,month-to-month,0,112.2,1
40,66.91,0,two-year,0,70.8,0
63,83.79,1,one-year,1,51.2,0
9,56.94,0,two-year,1,75.5,0
66,71.0,0,one-year,1,91.2,0
61,45.94,1,two-year,0,98.1,0
36,57.61,0,one-year,1,62.4,0
52,27.58,1,month-to-month,1,121.6,0
37,13.11,1,month-to-month,0,68.3,0
19,78.86,1,one-year,1,59.6,1
57,40.3,1,month-to-month,1,71.0,0
17,50.89,0,one-year,1,127.6,0
22,32.27,1,month-to-month,0,85.4,1
37,31.8,0,one-year,0,65.7,0
60,56.52,1,month-to-month,1,122.4,0
27,45.41,2,two-year,1,165.0,0
35,67.56,1,month-to-month,0,97.3,0
2,69.05,1,month-to-month,0,133.2,1
8,66.42,0,one-year,1,126.3,0
4,64.77,1,one-year,0,68.8,0
5,91.56,4,one-year,0,90.9,1
62,38.65,2,two-year,1,45.1,0
60,58.9,2,month-to-month,0,82.8,0
59,82.65,1,one-year,0,68.1,0
4,85.29,2,month-to-month,0,75.9,0
5,31.56,2,month-to-month,1,63.8,0
20,53.75,2,month-to-month,0,80.0,1
40,87.16,0,month-to-month,1,108.6,0
24,70.16,0,month-to-month,1,85.8,0
35,63.91,1,one-year,1,24.7,0
12,55.65,3,month-to-month,0,63.9,0
52,52.32,2,two-year,0,36.8,0
22,65.76,3,month-to-month,0,98.5,0
4,54.95,1,month-to-month,1,107.6,0
53,59.15,1,one-year,1,99.0,0
65,61.57,1,month-to-month,1,62.4,0
1,46.44,2,month-to-month,0,98.6,0
31,70.64,1,one-year,0,73.5,0
59,118.28,1,month-to-month,1,50.2,0
50,24.46,0,month-to-month,0,116.0,0
61,66.48,1,one-year,1,118.6,0
29,44.8,1,month-to-month,0,123.2,0
26,71.55,1,one-year,1,68.7,0
51,60.93,0,one-year,1,131.3,0
11,75.24,1,month-to-month,0,72.7,0
17,83.51,2,month-to-month,0,112.9,1
43,63.85,1,month-to-month,1,72.1,0
48,82.64,0,one-year,0,82.2,0
8,13.11,0,month-to-month,0,5.3,0
36,91.81,2,two-year,0,79.4,0
26,67.5,0,month-to-month,0,93.2,0
36,81.56,1,one-year,1,75.6,1
69,35.6,3,month-to-month,0,151.5,0
5,43.38,2,month-to-month,0,49.3,0
71,62.92,1,month-to-month,1,70.3,0
32,59.66,3,month-to-month,0,58.3,1
55,65.66,1,two-year,0,70.3,0
30,81.69,2,month-to-month,1,126.1,1
22,24.7,0,month-to-month,1,141.7,0
55,79.48,2,month-to-month,1,65.5,0
49,60.17,4,month-to-month,1,64.7,1
10,55.92,1,two-year,0,49.5,0
50,30.58,1,two-year,0,135.7,1
54,70.06,4,two-year,1,129.2,0
27,11.72,1,month-to-month,1,86.3,0
66,72.97,0,month-to-month,1,41.1,0
46,30.16,3,one-year,0,44.3,0
24,61.07,1,month-to-month,0,96.0,1
0,57.62,0,one-year,0,109.2,0
48,83.39,1,month-to-month,1,17.7,0
15,56.43,0,month-to-month,1,78.8,0
54,46.12,0,two-year,0,146.6,0
37,49.87,1,month-to-month,0,82.4,0
33,85.46,1,two-year,0,142.1,1
11,70.73,1,month-to-month,0,112.7,1
51,52.29,1,month-to-month,1,52.1,0
11,55.27,0,month-to-month,1,79.8,0
30,28.66,1,month-to-month,0,85.5,1
60,67.77,1,month-to-month,1,56.7,0
66,24.8,1,month-to-month,1,56.1,0
71,75.04,2,one-year,0,142.7,0
68,62.57,0,two-year,0,55.8,0
40,107.74,0,month-to-month,0,127.7,0
14,38.0,1,month-to-month,0,74.7,0
60,57.95,4,month-to-month,0,89.1,0
57,95.97,2,one-year,1,109.7,0
71,83.83,4,month-to-month,0,69.1,0
46,46.08,3,month-to-month,0,109.9,0
10,64.48,0,month-to-month,1,18.4,0
36,60.04,0,month-to-month,0,105.4,0
32,65.64,0,month-to-month,1,5.0,0
60,46.03,1,month-to-month,1,82.1,0
28,58.21,3,two-year,1,119.9,0
23,28.04,1,month-to-month,1,111.8,1
5,62.7,1,month-to-month,1,44.6,0
60,69.0,0,month-to-month,1,49.1,0
54,55.45,0,month-to-month,0,65.9,0
2,27.7,1,month-to-month,0,96.5,0
31,79.77,3,month-to-month,0,18.9,1
34,67.29,0,month-to-month,0,89.5,0
33,45.48,1,one-year,0,100.9,0
66,54.39,1,month-to-month,0,80.1,0
10,29.99,1,two-year,0,108.4,0
22,39.49,1,month-to-month,0,97.8,0
13,49.24,1,month-to-month,0,71.0,0
17,84.57,2,two-year,1,22.2,1
65,47.21,0,one-year,1,94.7,0
67,72.8,1,month-to-month,1,56.6,1
3,49.23,0,one-year,0,69.8,0
45,64.96,2,month-to-month,1,106.8,0
16,57.17,1,month-to-month,1,139.6,0
13,77.46,1,one-year,0,88.7,0
21,49.3,2,one-year,1,109.4,0
13,28.55,0,month-to-month,0,39.4,0
35,32.36,2,one-year,1,98.6,0
71,49.36,3,month-to-month,1,87.9,0
42,35.02,2,month-to-month,0,133.0,0
52,68.2,1,two-year,1,71.1,0
35,50.68,0,month-to-month,0,81.5,0
1,107.49,1,month-to-month,0,127.1,1
6,25.25,0,month-to-month,0,86.8,0
19,64.07,0,month-to-month,0,51.2,0
17,37.44,2,month-to-month,0,179.3,0
60,50.13,0,two-year,1,52.2,0
60,62.83,2,one-year,0,87.7,0
61,13.49,2,one-year,0,102.1,0
45,64.74,2,month-to-month,1,99.4,1
40,98.06,2,month-to-month,0,83.4,0
46,50.93,3,month-to-month,0,83.5,0
29,65.2,1,month-to-month,1,81.8,0
48,80.5,0,month-to-month,1,50.9,0
57,56.72,2,one-year,0,165.3,0
54,48.38,1,two-year,0,82.3,0
44,14.49,1,month-to-month,1,110.9,0
4,72.82,0,month-to-month,1,78.3,0
52,57.74,1,one-year,0,77.6,1
26,39.75,1,month-to-month,0,74.1,0
53,62.53,2,two-year,0,35.8,1
38,48.33,0,month-to-month,1,84.4,0
63,49.43,0,month-to-month,1,75.8,0
24,72.13,2,month-to-month,1,131.0,1
67,33.23,1,two-year,0,48.1,0
60,80.95,2,month-to-month,1,69.8,0
23,32.05,2,one-year,1,58.6,0
34,46.75,0,month-to-month,0,140.5,0
38,98.46,0,month-to-month,1,59.6,0
55,82.55,1,two-year,0,109.7,0
49,61.95,3,month-to-month,0,124.0,0
61,41.19,0,month-to-month,1,84.9,0
26,49.41,1,month-to-month,0,41.8,0
36,61.47,4,two-year,1,42.3,0
31,60.75,2,month-to-month,0,120.1,0
65,58.18,0,month-to-month,0,45.9,0
21,59.38,0,two-year,0,103.7,1
42,55.71,1,one-year,0,94.0,0
8,31.16,3,two-year,0,103.2,0
61,49.67,1,one-year,1,106.5,0
27,78.29,2,one-year,0,57.3,1
24,32.63,0,month-to-month,0,55.9,0
41,56.21,0,month-to-month,1,115.0,0
35,43.6,2,one-year,0,68.0,0
61,62.23,0,one-year,1,5.0,0
38,52.23,1,two-year,0,112.7,1
37,89.55,4,month-to-month,0,53.7,1
7,70.13,1,month-to-month,1,106.3,0
1,33.76,0,month-to-month,1,138.7,0
28,73.42,1,one-year,1,90.6,0
71,44.51,3,month-to-month,0,124.9,0
66,48.46,2,one-year,0,95.4,1
45,66.28,3,month-to-month,1,145.6,1
45,50.17,0,month-to-month,1,52.8,0
28,77.86,1,month-to-month,1,89.7,0
12,44.51,0,one-year,1,113.6,1
0,47.62,1,two-year,1,83.3,0
24,46.87,0,month-to-month,0,130.3,0
22,48.69,1,month-to-month,1,74.9,0
13,81.98,1,month-to-month,0,162.4,0
18,72.58,1,month-to-month,0,164.3,1
1,94.2,1,month-to-month,1,99.9,1
43,105.35,1,two-year,0,109.3,1
66,39.39,0,two-year,0,131.7,0
49,61.41,3,month-to-month,1,48.4,0
32,36.48,0,month-to-month,1,44.1,0
30,44.45,2,month-to-month,0,134.0,1
22,47.4,2,month-to-month,1,99.6,0
10,38.86,1,month-to-month,0,82.1,1
43,38.96,0,one-year,1,90.4,0
40,57.11,1,month-to-month,0,6.5,0
0,35.67,3,one-year,0,83.3,0
29,76.84,0,month-to-month,0,63.6,0
20,41.64,1,one-year,0,122.1,0
12,116.19,3,one-year,0,124.8,0
50,50.97,1,month-to-month,0,110.2,0
37,61.44,1,month-to-month,1,103.8,0
45,34.09,0,one-year,0,37.6,0
51,94.12,2,one-year,0,110.7,0
70,82.39,0,month-to-month,1,112.0,0
57,65.94,1,month-to-month,1,133.6,0
44,33.06,0,month-to-month,1,164.1,0
