amount,international,new_device,hour,velocity_1h,account_age_days,fraud
15.03,0,1,3,0,59,0
10.25,0,1,15,1,2259,0
24.59,0,0,4,2,1127,0
21.4,0,1,10,1,816,0
17.87,0,0,19,2,781,0
11.8,0,0,8,2,906,0
38.99,0,0,22,1,1164,0
41.13,0,0,1,0,2259,0
12.86,0,0,2,0,597,0
14.17,1,0,4,0,1769,0
29.83,0,1,5,0,3362,0
13.8,0,0,10,0,3520,0
30.72,0,1,21,1,3027,0
75.76,0,1,5,1,965,0
26.0,0,0,8,0,534,0
11.59,0,0,1,1,3204,0
35.68,0,0,17,0,1474,0
23.94,0,0,13,1,1680,0
24.41,0,0,1,0,1555,0
37.82,0,0,11,1,491,0
43.98,1,0,5,1,2633,0
27.79,0,0,10,0,872,0
25.99,0,0,6,0,851,0
114.95,0,0,18,0,2758,0
62.83,0,0,1,2,2601,0
48.59,0,1,14,0,3017,0
29.72,0,0,19,2,2577,0
13.41,0,0,0,0,144,0
59.69,0,0,21,0,1522,0
29.99,0,0,18,0,1496,0
18.1,0,0,6,0,1173,0
22.87,0,0,11,0,1803,0
13.79,0,0,16,1,1814,0
56.83,0,0,12,0,2244,0
43.73,1,0,18,2,3503,0
30.79,0,1,21,0,2374,0
26.31,0,0,8,1,3404,0
16.84,0,0,2,2,3031,0
6.1,1,0,10,2,2679,0
10.08,0,0,14,0,997,0
16.12,0,0,18,0,2109,0
14.51,0,0,6,0,408,0
33.2,0,0,22,1,3372,0
47.85,0,1,0,1,680,0
24.78,1,0,13,1,870,0
72.69,1,0,10,1,3419,0
15.67,0,0,16,1,444,0
24.66,0,0,6,0,1995,0
26.16,0,0,22,4,2097,0
58.24,0,0,0,4,799,0
29.2,0,1,19,1,1422,0
29.77,1,1,11,0,2868,0
8.51,0,0,12,1,2596,0
14.44,0,0,7,1,2142,0
58.39,0,0,9,0,1985,0
6.34,0,0,10,0,1340,0
69.41,0,1,7,0,2276,0
38.47,0,0,0,1,66,0
16.07,0,0,9,0,256,0
15.14,0,0,9,0,2857,0
102.22,0,0,17,0,636,0
72.82,0,0,11,0,2618,0
24.94,1,0,13,0,59,0
29.79,0,0,11,3,956,0
17.25,0,0,10,0,3424,0
29.8,0,0,17,0,969,0
16.92,1,0,16,1,3586,0
25.66,0,1,23,0,990,0
96.28,0,0,11,1,2321,0
25.36,1,0,0,1,2447,0
13.02,1,0,14,1,2313,1
10.42,0,0,9,0,1073,0
29.64,0,0,2,1,2769,0
15.92,0,0,20,0,1132,0
32.22,0,0,15,0,2972,0
8.73,0,0,15,0,1374,0
43.96,1,0,15,0,3054,0
12.91,0,0,23,2,3577,0
28.01,0,0,16,2,2755,0
21.4,0,0,17,1,1679,0
90.28,0,1,18,1,1543,0
30.57,0,1,17,0,1377,0
105.83,0,0,16,2,1281,0
40.15,1,0,1,2,1715,0
73.54,0,0,9,0,1773,0
23.43,0,0,6,0,2625,0
34.53,0,0,21,1,3247,0
63.63,1,1,14,0,3225,0
51.08,0,0,12,0,2205,0
39.32,0,0,12,0,3616,0
21.55,0,1,16,1,3261,0
24.26,0,0,18,0,1774,0
60.12,0,0,4,0,1504,0
69.56,0,0,23,0,1679,0
17.9,0,0,18,0,85,0
16.11,1,0,4,0,1205,0
14.4,1,0,14,1,1397,0
48.46,0,0,10,0,2843,0
14.15,1,0,9,1,958,0
48.05,0,1,20,2,2392,0
39.73,0,0,6,0,1175,0
18.51,1,0,20,0,1326,0
81.02,0,0,15,0,251,0
9.74,0,0,19,2,1892,0
86.63,0,1,17,2,354,1
33.89,0,1,14,1,751,0
6.35,0,1,4,0,1831,0
82.63,1,1,23,2,2533,0
53.55,0,0,15,0,1475,0
20.09,0,0,8,1,920,0
13.8,0,0,6,1,3274,0
9.04,0,1,2,0,1275,0
147.06,0,0,7,0,1171,0
14.21,0,0,3,2,248,0
11.2,0,1,21,0,1284,0
32.71,0,0,10,0,802,0
8.61,0,1,15,1,1291,0
13.64,0,1,19,1,711,0
54.41,0,1,23,0,717,0
37.52,1,0,10,2,2683,0
20.69,0,0,1,0,1731,0
27.46,0,1,14,0,2534,0
19.89,0,0,22,0,2105,0
25.96,1,0,8,0,1964,0
15.91,1,1,2,1,1702,0
18.06,0,1,17,0,1412,0
17.68,0,1,14,1,956,0
16.31,0,0,3,0,3246,0
56.3,1,0,0,1,1493,0
46.48,0,1,12,1,3226,0
14.12,0,0,3,0,2803,0
11.75,1,0,4,0,2200,0
24.29,0,0,7,1,3076,0
122.57,0,1,11,1,2401,0
13.21,0,0,19,1,2977,0
24.22,1,0,10,0,2907,0
28.85,0,0,20,1,2357,0
25.13,1,0,14,0,2638,0
19.67,0,0,9,1,2984,0
60.86,0,0,12,1,820,0
37.27,1,0,3,0,3199,0
49.01,0,0,23,0,1837,0
40.96,0,0,7,0,446,0
50.69,0,0,21,0,554,0
82.19,0,1,15,0,2738,0
68.84,0,0,7,0,2954,0
138.02,0,0,11,1,2387,0
63.57,1,0,2,0,2385,0
16.97,1,1,14,0,3159,0
49.06,1,1,1,0,3573,0
44.58,0,0,15,1,3036,0
103.98,1,0,4,0,498,0
13.78,1,0,3,1,2928,0
40.07,0,1,5,0,1862,0
16.83,1,1,2,1,2914,0
38.81,0,0,21,3,2642,0
23.33,1,1,22,0,2474,0
37.93,0,0,22,0,3165,0
10.1,0,0,17,2,551,0
47.24,0,0,5,1,3114,0
31.32,0,0,18,0,1268,0
30.16,0,0,18,1,737,0
106.18,0,0,5,0,2628,0
20.74,1,0,20,1,3585,0
34.45,0,0,23,0,320,0
29.08,0,1,9,2,3581,0
31.14,0,0,14,2,1250,0
128.41,0,1,20,2,3537,0
28.35,0,0,6,0,179,0
18.23,0,0,23,3,2239,0
100.45,0,1,7,1,1950,0
21.86,0,1,23,4,3036,0
8.81,1,1,5,2,1722,0
16.14,0,0,17,0,277,0
11.33,0,0,12,1,671,0
7.69,0,0,8,0,932,0
21.03,1,1,10,1,3180,0
25.81,0,1,5,0,335,0
61.95,1,0,16,1,3062,0
42.12,0,0,23,1,1845,0
40.8,1,0,14,1,2063,0
14.51,0,1,6,3,3521,0
50.37,0,0,16,0,2799,0
71.8,0,1,10,0,2369,0
35.74,0,0,22,1,3008,0
36.44,1,1,6,1,1683,0
11.19,0,1,12,1,3398,0
56.72,0,0,11,1,2893,0
94.31,0,1,21,0,3566,0
33.99,0,0,2,1,2008,0
17.88,1,0,14,2,2345,0
24.21,0,1,19,0,1670,0
20.2,0,0,8,2,3376,0
21.07,0,0,12,0,2297,0
42.67,1,0,7,0,578,0
32.97,1,1,10,1,1868,0
54.75,0,0,22,2,486,0
35.15,0,0,8,1,2341,0
14.81,1,0,4,1,2552,0
19.1,1,0,13,1,2929,0
18.28,0,0,11,0,559,0
23.79,0,0,18,1,1687,0
95.23,0,1,0,1,1293,0
106.53,0,0,21,0,1514,0
48.7,0,1,16,2,3429,0
29.46,1,1,20,0,2039,0
10.45,0,0,9,0,1618,0
31.63,1,1,10,0,3302,0
15.6,0,0,8,1,1941,0
84.89,0,0,20,0,1543,0
8.81,0,0,1,0,1971,0
35.49,0,1,12,2,3094,0
14.7,1,0,6,1,1652,0
26.93,0,0,15,0,2252,0
43.22,0,0,23,0,652,0
55.44,1,0,16,1,45,0
25.98,0,1,1,0,245,0
46.19,0,0,9,3,1738,0
17.05,1,1,0,1,2622,0
32.2,0,1,11,1,768,0
54.68,0,0,4,0,3442,0
34.21,0,0,16,1,548,0
18.72,0,0,12,0,2541,0
22.3,0,0,7,0,855,0
55.2,1,0,20,2,215,0
12.63,0,0,17,0,2600,0
14.0,1,1,15,1,1890,0
41.31,0,0,8,0,2289,0
19.94,0,0,6,0,3436,0
9.8,0,0,14,1,1959,0
69.8,0,1,18,1,3070,0
12.56,0,0,20,2,1807,0
23.58,1,0,18,1,1274,0
17.57,1,0,0,0,1420,0
22.01,0,1,23,1,1258,0
14.6,0,0,5,1,3235,0
44.7,1,0,0,1,1866,0
29.3,0,0,13,0,3403,0
53.98,0,0,10,0,917,0
17.7,0,0,2,1,2790,0
120.68,0,0,5,0,421,0
7.15,0,0,4,1,1052,0
8.94,1,0,10,0,121,0
92.5,0,0,17,0,3335,0
37.78,0,1,16,0,1088,0
34.43,1,0,0,0,2989,0
36.67,0,1,4,0,1553,0
40.44,0,1,14,3,452,0
33.44,0,0,19,1,1254,0
13.79,0,0,0,0,1247,0
48.07,0,0,8,1,1857,0
43.05,0,0,2,2,1195,0
73.69,0,1,11,1,2468,0
93.22,1,0,9,2,2664,0
34.17,1,0,4,0,567,0
11.48,0,0,23,0,1912,0
93.76,1,0,18,1,2112,0
13.29,0,1,13,1,974,0
34.35,1,0,18,1,2816,0
22.65,0,0,7,2,842,0
20.06,0,0,22,0,3180,0
46.29,1,0,9,1,1669,0
32.17,0,1,9,1,1335,0
38.83,0,0,13,3,2430,0
15.32,0,1,13,0,2261,0
24.0,0,1,14,2,1856,0
15.82,0,0,19,1,2506,0
23.59,0,0,6,1,952,0
24.95,0,0,16,2,2952,0
98.59,0,0,4,0,2262,0
22.61,0,1,5,2,777,0
6.12,0,0,11,1,3646,0
71.99,0,1,12,0,3158,0
37.13,0,0,15,4,644,0
24.74,0,0,3,0,2863,0
19.96,0,0,19,1,1928,0
13.97,0,0,13,1,2808,0
105.28,0,0,14,0,1371,0
28.11,0,0,17,0,892,0
8.03,0,0,16,1,797,0
34.1,0,1,10,0,240,0
63.07,0,0,11,0,3195,0
30.25,0,0,5,0,1140,0
14.42,1,0,13,1,3495,0
13.55,0,0,4,1,824,0
14.27,1,0,15,0,1278,0
78.66,0,0,10,2,3208,0
25.79,0,0,5,0,1267,0
8.37,0,0,11,0,2768,0
35.48,0,0,22,2,334,0
29.93,0,0,13,2,3482,0
19.8,0,0,8,0,2254,0
13.27,0,0,10,1,2738,0
12.87,0,1,14,1,96,0
58.01,0,0,3,0,3520,0
32.24,0,0,13,0,1811,0
37.9,0,0,0,1,773,0
32.18,0,0,20,1,557,0
34.1,0,1,14,1,317,0
19.53,0,1,2,0,2453,0
23.47,0,1,11,3,777,0
61.28,0,0,21,0,3390,0
72.98,1,0,23,2,831,0
11.53,0,0,3,0,324,0
23.43,0,1,6,1,3112,0
48.79,0,0,3,0,2838,0
101.24,0,0,8,1,1893,0
94.38,0,0,20,1,3031,0
15.53,1,1,16,0,2649,0
66.19,0,0,6,0,643,0
28.25,0,0,7,2,1517,0
56.32,1,1,14,0,3367,0
47.08,0,0,14,2,2474,0
11.19,0,1,11,0,2266,0
39.84,0,0,10,1,647,0
54.82,0,1,22,0,1952,0
26.73,1,1,12,1,605,0
22.82,0,0,18,1,2450,0
9.02,0,1,23,1,810,0
43.75,0,0,8,0,1051,0
31.38,0,0,18,2,2093,0
14.22,1,0,19,0,92,0
21.58,1,0,5,1,2553,0
30.21,1,0,5,2,1613,0
18.34,0,0,3,4,1869,0
27.16,0,1,14,1,2713,0
7.96,0,1,18,0,2811,0
69.73,0,0,18,1,3353,0
27.42,0,0,9,1,656,0
12.56,0,0,16,0,1569,0
4.85,0,0,0,1,348,0
55.72,0,1,15,0,962,0
40.07,1,1,11,0,2013,0
31.42,0,0,19,2,479,0
49.63,0,0,23,1,1626,0
49.53,0,0,13,0,3414,0
31.07,1,0,14,0,258,0
22.69,0,0,22,1,842,0
20.25,0,0,8,1,1031,0
36.4,0,0,3,1,3325,0
72.09,1,0,12,2,2680,0
25.23,0,1,8,0,670,0
76.21,0,1,15,1,2557,0
35.21,0,0,18,0,66,0
35.39,0,0,12,1,2913,0
146.0,0,1,7,0,818,0
86.22,1,0,13,0,2598,0
87.8,1,1,10,0,1798,0
15.51,0,0,4,1,2677,0
125.78,0,1,18,0,1272,0
25.6,0,0,7,2,1937,0
23.12,0,1,12,1,3313,0
5.98,1,0,21,0,2930,0
34.07,1,1,4,0,1989,0
12.7,0,0,10,1,3367,0
36.08,0,0,4,0,429,0
12.02,0,1,10,1,2555,0
95.43,1,0,7,0,2282,0
39.89,0,0,21,0,936,0
133.74,0,0,7,2,1419,0
13.25,0,1,14,0,1481,0
80.19,0,1,3,2,2478,0
7.68,0,0,10,0,2280,0
31.36,1,1,20,0,2869,0
17.42,1,1,16,0,2398,0
19.81,0,0,6,2,3597,0
18.89,0,0,23,3,3028,0
14.29,0,0,19,0,2104,0
11.23,0,0,9,1,67,0
19.89,0,0,23,0,1338,0
29.41,0,0,4,0,466,0
61.23,0,1,7,1,1582,0
33.34,1,0,22,2,3625,0
61.35,0,0,23,3,1469,0
9.63,1,0,19,1,2983,0
20.02,0,0,4,0,1644,0
44.6,0,1,5,1,2105,0
34.47,0,0,15,1,109,0
14.84,0,1,1,0,2509,0
52.14,0,0,23,1,902,0
18.69,1,0,22,0,1679,0
15.73,1,0,19,1,3605,0
38.12,0,0,23,0,815,0
27.23,0,0,5,1,3387,0
18.8,0,0,21,0,3025,0
18.36,0,0,6,0,176,0
12.82,0,0,2,0,1347,0
20.55,0,0,6,1,3575,0
58.56,1,0,18,1,1657,0
32.17,1,0,22,0,2890,0
53.04,0,0,14,1,3353,0
38.91,0,1,5,1,10,0
17.66,0,1,14,1,2669,0
8.55,0,0,12,2,3334,0
14.17,0,0,12,1,2108,0
16.95,0,0,8,0,3505,0
16.05,0,0,3,0,2552,0
53.88,1,1,8,0,2294,0
53.49,0,1,21,1,451,0
127.53,0,0,9,0,2877,0
15.89,0,0,0,0,3122,0
82.95,0,0,8,0,1213,0
82.59,0,0,11,1,576,0
23.04,0,0,14,0,2088,0
37.77,0,0,15,0,3426,0
64.62,0,0,10,0,2670,0
26.02,0,0,3,1,2958,0
24.64,0,0,10,1,2048,0
17.48,0,0,0,0,1524,0
5.2,0,0,12,0,1111,0
28.48,0,0,10,0,2947,0
16.5,0,0,8,0,2369,0
12.77,0,0,15,0,2729,0
36.44,0,1,18,1,3060,0
9.82,0,0,6,0,3574,0
47.67,0,0,12,2,3051,0
38.04,0,0,12,1,1629,0
20.49,0,0,12,1,482,0
25.94,0,0,9,0,2041,0
11.79,0,1,5,0,1625,0
45.84,0,1,4,0,3413,0
30.91,0,0,0,1,141,0
32.57,1,0,1,1,3124,0
38.53,0,1,19,1,2309,0
17.29,0,0,1,1,256,0
9.36,0,0,20,0,883,0
52.99,0,1,21,0,227,0
43.91,0,0,5,1,3395,0
18.64,1,0,10,0,2353,0
36.1,0,0,8,0,2256,0
65.4,0,0,9,0,1898,0
60.16,0,1,8,1,1462,0
18.26,0,0,8,2,624,0
9.56,0,0,16,0,2669,0
10.78,0,0,9,1,481,0
21.8,0,0,4,0,756,0
75.46,0,0,9,0,3565,0
16.28,0,0,23,0,333,0
17.86,0,0,23,0,3471,0
17.6,0,0,1,0,318,0
18.69,0,1,13,0,1776,0
26.9,0,0,23,1,2127,0
11.07,0,1,4,0,414,0
57.92,0,0,1,1,3244,0
24.5,0,0,5,0,3493,0
153.76,1,1,7,0,813,0
11.92,0,1,22,0,809,0
82.51,0,0,6,1,2774,0
71.8,0,0,7,2,1356,0
20.32,0,1,6,1,137,0
20.56,0,0,9,1,2738,0
14.23,0,0,23,1,1289,0
14.34,0,0,2,0,1486,0
27.1,0,1,11,1,2386,0
27.51,0,0,14,0,2106,0
8.83,0,0,2,0,3015,0
135.02,1,1,1,1,2912,0
22.61,0,0,23,0,3442,0
28.39,0,1,6,1,3351,0
17.49,0,0,5,0,2308,0
22.49,0,0,8,2,2031,0
21.1,1,0,1,0,1688,0
27.06,0,0,3,0,2425,0
26.84,1,0,0,1,221,0
47.63,0,1,12,1,1468,0
31.79,0,0,11,1,1006,0
44.39,1,0,6,1,2031,0
26.93,0,0,22,1,3369,0
31.88,1,0,7,1,1755,0
22.9,1,0,0,0,2127,0
54.72,0,0,2,0,1470,0
33.98,0,0,17,0,1250,0
24.27,0,0,12,3,2485,0
23.77,0,0,6,0,908,0
25.12,0,0,5,0,3208,0
27.7,0,0,5,0,414,0
26.06,0,0,10,1,811,0
18.33,0,1,16,0,2743,0
46.31,0,0,15,0,302,0
48.41,0,0,17,0,1505,0
94.51,0,1,0,0,1378,0
17.77,0,0,13,0,3418,0
43.23,0,1,18,0,579,0
7.12,0,0,4,0,1658,0
48.44,0,1,13,0,1677,0
9.78,0,1,0,2,2987,0
13.61,0,1,21,0,1974,0
34.21,0,0,17,0,475,0
17.55,0,1,14,1,3177,0
15.95,0,0,14,1,550,0
19.31,0,0,16,1,2536,0
45.18,1,0,10,0,997,0
14.11,0,0,23,0,444,0
26.1,0,1,5,0,698,0
20.8,1,1,19,0,3446,0
48.13,0,0,18,4,3565,0
49.08,0,0,20,2,2190,0
7.5,0,0,1,2,2949,0
56.35,0,0,10,1,3295,0
17.68,0,1,15,1,1271,0
31.99,0,0,14,1,2765,0
14.05,0,1,16,1,1897,0
35.16,0,0,15,1,631,0
161.73,0,0,5,0,1946,0
29.64,0,0,19,0,167,0
19.65,0,0,11,1,2216,0
23.05,0,1,23,0,949,0
9.7,1,1,12,1,378,0
74.76,0,1,12,1,2574,0
33.75,0,1,14,0,1273,0
13.01,0,0,20,1,1631,0
13.31,0,0,21,1,313,0
27.4,0,1,14,1,291,0
52.06,0,0,13,1,3354,0
12.11,0,1,1,1,2189,0
59.11,0,0,1,1,1472,0
25.43,0,1,17,0,2430,0
14.14,0,0,8,1,2653,0
19.54,0,1,10,2,415,0
92.2,0,0,15,1,3361,0
10.26,0,0,5,1,2392,0
16.24,0,1,7,0,1129,0
52.82,0,0,1,4,981,0
31.55,0,0,18,0,320,0
15.58,0,0,12,0,936,0
53.27,0,0,4,1,1227,0
55.07,0,0,14,1,777,0
34.19,0,0,3,0,2449,0
17.66,0,0,18,1,921,0
19.67,0,0,5,0,1824,0
33.09,0,1,6,2,2039,0
10.82,0,0,21,0,273,0
68.68,0,0,17,0,615,0
89.13,0,0,16,1,256,0
22.98,0,0,14,1,2521,0
34.79,0,1,12,2,2553,0
62.18,0,0,4,0,472,0
106.58,0,0,7,0,2688,0
80.63,0,0,23,0,2961,0
8.05,0,1,22,1,399,0
21.74,1,0,17,0,426,0
38.49,0,0,21,0,2900,0
19.18,0,0,19,0,1126,0
94.44,0,1,9,0,1261,0
84.82,0,0,17,1,2147,0
15.32,0,0,18,0,248,0
24.2,1,1,3,1,1598,0
16.04,0,0,21,2,1218,0
23.65,0,0,11,1,3002,0
23.15,0,0,7,0,2666,0
52.88,0,1,11,0,1046,0
14.56,0,0,7,2,2393,0
4.34,1,0,7,1,1470,0
8.82,1,1,13,1,1757,0
13.2,0,0,23,0,2683,0
17.13,0,0,9,3,1020,0
30.91,0,0,5,0,2110,0
12.73,0,0,18,1,1525,0
11.61,0,0,7,1,2372,0
14.15,0,0,12,2,1392,0
12.42,1,1,6,0,3413,0
18.39,0,0,5,0,1423,0
17.85,0,1,6,0,399,1
43.92,1,0,8,1,1787,0
13.56,0,0,22,0,871,0
21.11,0,1,16,0,1661,0
18.51,0,0,16,0,3360,0
47.76,1,0,1,0,374,0
24.34,0,0,0,3,155,0
56.57,1,0,8,0,1059,0
12.1,0,0,21,0,1590,0
26.19,0,0,0,0,471,0
18.12,1,1,18,0,2539,0
11.49,0,0,19,0,2197,0
25.86,0,0,6,1,2561,0
91.2,0,0,2,1,1543,0
14.92,0,0,3,1,3396,0
24.8,0,0,1,1,2452,0
10.82,0,0,20,0,3360,0
9.76,0,0,18,0,319,0
15.63,0,0,16,0,2435,0
19.79,0,1,2,0,1258,0
20.41,0,0,22,2,703,0
23.15,0,0,16,0,658,0
8.55,0,1,19,0,717,0
17.49,0,1,9,1,336,0
38.52,1,1,4,0,1658,0
10.48,0,0,19,0,2823,0
21.14,0,1,1,1,1691,0
33.28,0,0,4,0,477,0
15.68,0,0,3,0,2581,0
34.43,0,1,2,1,638,0
9.35,0,0,13,2,3171,0
50.5,0,1,5,2,1338,0
35.02,1,1,23,1,4,0
28.19,0,0,22,1,1068,0
59.58,0,0,4,2,3038,0
21.53,0,1,19,1,3357,0
17.59,0,0,0,1,1539,0
70.87,0,0,6,0,3608,0
98.35,1,0,15,0,846,0
16.69,1,1,4,0,1541,0
25.04,0,1,1,0,1673,0
56.35,0,0,3,0,734,0
25.67,0,0,15,0,1398,0
41.11,0,1,5,1,1818,0
46.82,0,0,5,0,2553,0
18.29,0,0,4,1,1809,0
36.36,1,0,21,2,377,0
27.0,0,1,21,0,1701,0
11.57,0,0,19,0,3096,0
13.56,1,0,0,0,74,0
17.17,0,0,6,1,3643,0
51.93,0,0,21,0,468,0
53.14,1,0,13,0,33,0
45.83,0,0,0,0,514,0
36.9,0,0,5,0,913,0
36.2,0,1,19,1,1283,0
32.93,1,0,21,2,3028,0
36.06,0,1,10,0,2119,0
37.82,0,0,3,0,2331,0
10.14,0,0,1,1,3204,0
15.59,0,1,5,1,479,0
13.19,0,0,19,0,815,0
58.85,0,0,19,0,3533,0
86.3,1,0,6,3,2814,0
5.94,0,0,23,1,216,0
81.07,1,0,21,4,825,0
28.81,1,1,23,1,1363,0
55.09,1,1,18,2,119,0
38.65,0,0,13,0,2127,0
74.31,0,1,23,2,2371,0
31.4,1,0,16,0,1225,0
10.44,0,0,19,2,783,0
25.18,0,0,9,1,1552,0
38.9,0,1,5,1,3356,0
23.31,0,0,13,0,2622,0
42.97,0,1,9,2,3406,0
25.89,0,0,8,1,2018,0
17.87,0,0,16,0,383,0
12.68,0,1,14,1,218,0
20.61,0,1,7,0,710,0
31.29,1,1,5,1,1901,0
6.88,0,0,13,0,768,0
15.7,0,0,7,0,1157,0
6.7,0,0,5,1,3326,0
17.6,1,1,5,0,158,0
62.68,0,0,15,0,284,0
11.82,0,0,9,1,1422,0
44.35,0,0,8,1,2741,0
199.17,1,0,2,2,3006,0
75.0,0,0,1,0,1050,0
29.77,0,1,16,2,1061,0
49.45,0,0,23,0,2125,0
10.39,0,0,7,2,3160,0
9.01,0,1,20,0,647,1
27.66,0,0,14,0,3256,0
35.84,0,0,7,2,2943,0
58.33,0,0,13,1,977,0
18.21,0,0,3,1,2448,0
31.04,1,0,8,0,2295,0
30.31,0,0,17,0,77,0
24.73,0,0,20,0,1466,0
25.77,0,1,5,1,865,0
14.91,0,0,21,0,248,0
32.98,1,0,14,1,1702,0
31.08,0,1,5,1,2564,0
19.93,1,1,18,3,1938,0
43.21,0,0,21,1,323,0
55.67,0,0,6,1,3019,0
43.56,0,0,2,1,256,0
13.07,0,0,6,0,1412,0
29.07,1,0,18,1,2074,0
14.32,0,0,1,2,3382,0
29.01,0,0,6,1,2751,0
14.36,0,0,7,1,707,0
66.29,0,0,0,0,1561,0
46.91,0,1,14,0,3130,0
60.77,0,0,19,0,904,0
56.61,0,0,3,2,3300,0
22.43,0,0,21,0,1947,0
20.13,0,0,22,0,2287,0
91.76,0,1,20,0,2419,0
24.15,1,1,17,0,3531,0
10.5,0,1,10,4,2510,0
54.88,0,0,4,1,1498,0
29.98,1,1,21,1,2153,0
77.8,0,0,12,0,2552,0
32.14,0,0,10,0,2182,0
26.74,0,0,9,2,36,0
78.91,0,1,5,0,3291,0
9.24,1,1,9,2,1002,0
18.0,0,0,19,0,2375,0
14.57,0,1,13,0,2067,0
5.83,0,1,9,0,438,0
49.96,0,1,2,1,3197,0
18.35,1,0,9,1,303,0
51.1,0,1,5,1,3478,0
35.6,0,1,9,2,3364,0
41.47,0,0,3,1,2114,0
19.71,0,0,22,0,3483,0
15.88,0,1,4,0,3123,0
28.87,0,1,2,1,3284,0
51.59,0,0,15,0,2917,0
26.17,1,1,8,1,3391,0
16.59,1,0,23,0,2823,0
11.71,0,0,9,0,3212,0
31.28,1,0,15,1,406,0
18.4,0,0,20,2,1558,0
25.78,0,0,23,0,1747,0
22.94,0,0,19,2,3319,0
19.86,0,0,13,0,1774,0
33.3,0,0,19,0,1605,0
39.97,0,0,6,0,2874,0
107.31,0,0,20,0,2373,0
46.09,0,0,20,1,2139,0
82.73,0,0,9,1,3335,0
15.29,0,0,1,2,2992,0
8.84,0,0,16,0,2596,0
26.84,0,0,2,1,3491,0
49.43,0,1,0,2,176,0
44.29,0,0,22,1,2024,0
63.31,0,0,13,0,113,0
4.59,0,0,15,0,2889,0
65.18,0,0,21,1,464,0
34.29,0,0,22,0,2046,0
9.2,0,1,22,1,2856,0
44.99,0,0,3,0,2283,0
30.53,1,0,7,0,214,0
35.41,1,0,18,0,1737,0
54.56,0,0,0,0,2845,0
36.64,0,0,5,0,3502,0
9.67,0,0,12,0,3278,0
24.53,0,0,8,1,2984,0
8.74,0,0,4,2,1120,0
42.71,0,1,21,1,2744,0
72.14,0,0,10,0,609,0
11.37,0,0,9,0,1202,0
16.95,0,0,15,0,1034,0
14.62,0,0,16,1,1771,0
19.73,0,0,11,0,3194,0
36.19,0,0,21,0,3149,0
19.88,0,0,7,1,3258,0
42.81,0,1,20,0,3417,0
57.15,0,0,20,2,102,0
58.63,0,0,0,0,3641,0
12.39,0,1,18,1,3203,0
